Restaurant,Borough,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
SUSHI GALLERY,Brooklyn,71,CLARK STREET,11201,7182220308,Japanese,1/20/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,1/20/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.69757664,-73.99343648,302,33,000501,3335928,3002310001,BK09,POINT (-73.993436484152 40.697576635189)
MADERA,Queens,47-29,VERNON BOULEVARD,11101,7186061236,Latin American,9/19/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,9/19/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.74467856,-73.95343814,402,26,000700,4000300,4000450047,QN31,POINT (-73.95343813938 40.744678559995)
FAIRFAX,Manhattan,234,WEST    4 STREET,10014,2123210298,American,2/10/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,2/10/2025,4/22/2026,Cycle Inspection / Re-inspection,40.73434296,-74.00300934,102,03,007300,1011216,1006200071,MN23,POINT (-74.003009342992 40.734342955714)
COZZI PIZZA,Brooklyn,584,BROADWAY,11206,7189634848,Pizza,2/6/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,2/6/2025,4/22/2026,Cycle Inspection / Re-inspection,40.70385853,-73.9474292,301,33,050900,3061330,3022470004,BK72,POINT (-73.947429196338 40.703858532529)
STARBUCKS,Queens,61-51,188 STREET,11365,7182640658,Coffee/Tea,12/12/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,12/12/2024,4/22/2026,Cycle Inspection / Re-inspection,40.73937721,-73.78575728,408,23,134700,4444049,4071170004,QN41,POINT (-73.78575728482 40.73937721415)
DUNKIN,Brooklyn,590,GATEWAY DRIVE,11239,3474459441,Donuts,4/12/2023,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,4/12/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.65245758,-73.8765707,305,42,107000,3397157,3044520545,BK82,POINT (-73.876570704975 40.652457583141)
NARUTO RAMEN,Manhattan,1596,3 AVENUE,10128,2122897803,Japanese,1/22/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,1/22/2025,4/22/2026,Cycle Inspection / Re-inspection,40.781123,-73.95231846,108,05,014802,1048124,1015180037,MN40,POINT (-73.952318462745 40.781122998858)
TAQUERIA SANTA FE,Queens,47-08,47 AVENUE,11377,7182699946,Mexican,10/31/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,B,10/31/2023,4/22/2026,Cycle Inspection / Re-inspection,40.7410109,-73.91798174,402,26,023500,4052903,4022850026,QN31,POINT (-73.917981739735 40.741010901094)
LA NEWYORKINA,Manhattan,NKA,high line park west 30th street,10011,9176694591,Other,7/20/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A,7/20/2023,4/22/2026,Cycle Inspection / Initial Inspection,,,,,,,,,
GRUPPO,Manhattan,98,AVENUE B,10009,2129952100,Pizza,11/16/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,11/16/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.72469365,-73.98149559,103,02,003200,1005099,1004020041,MN22,POINT (-73.981495591299 40.724693651708)
$1 PIZZA,Manhattan,832,6 AVENUE,10001,9175878888,Pizza,9/1/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23,B,9/1/2022,4/22/2026,Cycle Inspection / Re-inspection,40.74651011,-73.99015829,105,03,007600,1015746,1008300078,MN17,POINT (-73.990158293876 40.746510107881)
ASIA HARBOR,Brooklyn,404,CHURCH AVENUE,11218,3475743419,Other,7/2/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,7/2/2025,4/22/2026,Cycle Inspection / Re-inspection,40.64405399,-73.97641559,312,39,049400,3253185,3053370056,BK41,POINT (-73.976415593454 40.644053992847)
CERTE CATERING,Manhattan,20,WEST   55 STREET,10019,2123972020,American,12/31/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,B,12/31/2024,4/22/2026,Cycle Inspection / Re-inspection,40.76203509,-73.97582857,105,04,010400,1034807,1012700049,MN17,POINT (-73.975828571774 40.762035091044)
EL BUEN GUSTO,Brooklyn,5201,4 AVENUE,11220,7184926001,Caribbean,8/14/2025,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,8/14/2025,4/22/2026,Cycle Inspection / Re-inspection,40.64525506,-74.01382298,307,38,007600,3013888,3008070011,BK32,POINT (-74.013822982061 40.645255055897)
ALICE,Manhattan,126,WEST   13 STREET,10011,2126914886,Italian,12/27/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,9,A,12/27/2022,4/22/2026,Cycle Inspection / Re-inspection,40.73705755,-73.99830041,102,03,007100,1078119,1006080026,MN23,POINT (-73.99830040945 40.737057554352)
TIGRE'S PIZZA & RESTAURANT,Bronx,234,EAST  174 STREET,10457,7184663709,American,9/13/2022,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,0,A,9/13/2022,4/22/2026,Cycle Inspection / Re-inspection,40.8447077,-73.90729953,204,15,022902,2007368,2027920037,BX41,POINT (-73.907299531606 40.844707702771)
NINO'S PIZZA,Brooklyn,9110,3 AVENUE,11209,7186800222,Pizza,2/16/2023,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,13,A,2/16/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.61972203,-74.03259545,310,43,005800,3154699,3060850040,BK31,POINT (-74.032595446995 40.619722026727)
SHIRAZI KEBAB HOUSE,Queens,183-10,HORACE HARDING EXPRESSWAY,11365,6462082854,Afghan,12/18/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,9,A,12/18/2024,4/22/2026,Cycle Inspection / Re-inspection,40.73943047,-73.79081639,408,24,134100,4152787,4070720001,QN41,POINT (-73.790816387138 40.739430466677)
THE ORIGINAL AMERICAN CHICKEN,Queens,78-07,37 AVENUE,11372,7186510800,Chicken,11/28/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,11/28/2022,4/22/2026,Cycle Inspection / Re-inspection,40.74937615,-73.88784948,403,25,028500,4029655,4012780044,QN28,POINT (-73.887849480225 40.749376146778)
TIME AGAIN,Manhattan,105,CANAL STREET,10002,9177230101,American,8/8/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,34,C,8/8/2024,4/22/2026,Cycle Inspection / Re-inspection,40.71558237,-73.99414174,103,01,001600,1081956,1003010001,MN27,POINT (-73.994141736067 40.715582366556)
GOOD HOPE,Brooklyn,711,FLATBUSH AVENUE,11225,3472406221,Caribbean,8/7/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,B,8/7/2023,4/22/2026,Pre-permit (Operational) / Re-inspection,40.65579706,-73.95989402,309,40,079601,3115791,3050480002,BK60,POINT (-73.959894017166 40.655797060768)
LYLA'S BODEGA,Manhattan,177,WEST   83 STREET,10024,2127991555,Latin American,4/20/2022,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,52,C,4/20/2022,4/22/2026,Pre-permit (Operational) / Re-inspection,40.7853682,-73.97556007,107,06,016900,1032105,1012140001,MN12,POINT (-73.975560069114 40.785368197909)
Park Ave Juice CO ( Inside 277 Park Ave Amenities & Wellness Center),Manhattan,277,PARK AVENUE,10172,9176841611,"Juice, Smoothies, Fruit Salads",3/21/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,3/21/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.75555731,-73.97513791,105,04,009200,1076268,1013027501,MN19,POINT (-73.97513791153 40.7555573125)
KIMGANAE RESTAURANT,Queens,39-12,UNION STREET,11354,7188883100,Korean,1/25/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,1/25/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.76093529,-73.82679946,407,20,087100,4112501,4049800046,QN22,POINT (-73.826799459304 40.760935292682)
DON CHEECH,Staten Island,1271,BAY STREET,10305,7182854401,Italian,12/6/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,12/6/2022,4/22/2026,Pre-permit (Operational) / Re-inspection,40.61245654,-74.06492085,501,49,000600,5042262,5028320106,SI37,POINT (-74.064920851028 40.612456539676)
THE PIZZA PARLOR,Staten Island,6,SNEDEN AVENUE,10312,7183564233,Pizza,7/24/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,7/24/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.54053148,-74.17705603,503,51,017005,5130734,5062440015,SI01,POINT (-74.177056033582 40.540531481638)
BLANK STREET COFFEE,Manhattan,2345,BROADWAY,10024,9175103862,Coffee/Tea,2/26/2026,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A,2/26/2026,4/22/2026,Cycle Inspection / Initial Inspection,40.78792383,-73.97683751,107,06,017100,1081052,1012330011,MN12,POINT (-73.976837506379 40.787923826688)
POPEYES,Manhattan,125,CANAL STREET,10002,2129667077,Chicken,4/24/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/24/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.71590904,-73.99512651,103,01,001600,1003917,1003030035,MN27,POINT (-73.995126506458 40.715909040079)
CAFE PAULETTE,Brooklyn,1,SOUTH ELLIOTT PLACE,11217,7188528582,French,10/13/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,10/13/2023,4/22/2026,Cycle Inspection / Re-inspection,40.68933451,-73.97601729,302,35,003300,3058809,3020990041,BK68,POINT (-73.976017292561 40.689334506332)
GUAJILLO RESTAURANT,Manhattan,2277,1 AVENUE,10035,9292432277,Mexican,7/2/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/2/2025,4/22/2026,Cycle Inspection / Re-inspection,40.79677323,-73.93485537,111,08,018800,1052987,1016890023,MN34,POINT (-73.934855365952 40.796773226527)
1982 COFFEE ROASTERS,Brooklyn,5403,13 AVENUE,11219,7184751982,Coffee/Tea,8/8/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,B,8/8/2025,4/22/2026,Cycle Inspection / Re-inspection,40.63216043,-73.99508581,312,44,023800,3139408,3056770009,BK88,POINT (-73.995085809789 40.632160430076)
EL NUEVO TAINO RESTAURANT,Manhattan,2228,AMSTERDAM AVENUE,10032,9177947076,Latin American,12/17/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,12/17/2024,4/22/2026,Cycle Inspection / Re-inspection,40.84144444,-73.93577282,112,10,025300,1063054,1021270046,MN36,POINT (-73.935772818866 40.841444441196)
MORGENSTERN'S BANANAS,Manhattan,2,RIVINGTON STREET,10002,9176573942,Frozen Desserts,8/12/2025,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,13,A,8/12/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.72158239,-73.99334753,103,01,003601,1005700,1004267501,MN27,POINT (-73.993347527717 40.721582385788)
CHANO'S CANTINA,Queens,35-55,31 STREET,11106,9178327261,Mexican,5/2/2024,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,A,5/2/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.75728655,-73.92916213,401,22,005300,4008001,4006040002,QN70,POINT (-73.92916212997 40.757286553473)
DUNKIN' / BASKIN ROBBINS,Queens,29-28,HOYT AVENUE,11102,7187266982,Donuts,1/25/2024,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,12,A,1/25/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.77064067,-73.91808952,401,22,006900,4017399,4008380108,QN71,POINT (-73.918089519908 40.770640669667)
OH! DUMPLINGS,Brooklyn,6,BERGEN STREET,11201,3477991237,Chinese,5/6/2025,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,5/6/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.68768993,-73.9929651,302,33,006900,3005718,3003840010,BK38,POINT (-73.992965102509 40.687689934881)
KENNEDY FRIED CHICKEN,Brooklyn,783,HICKS STREET,11231,9292502584,Chicken,6/7/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,6/7/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.67615375,-74.00502199,306,38,005900,3332118,3005390001,BK33,POINT (-74.00502199413 40.676153751603)
KONG SIHK TONG,Manhattan,65,BAYARD STREET,10013,6468506140,Chinese,11/8/2024,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,13,A,11/8/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.71546996,-73.99808092,103,01,002900,1001791,1001630022,MN27,POINT (-73.998080916789 40.715469964619)
WHITE SWAN BAKERY,Manhattan,88,EAST BROADWAY,10002,2122265333,Bakery Products/Desserts,8/26/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/26/2025,4/22/2026,Cycle Inspection / Re-inspection,40.71373788,-73.9940914,103,01,000800,1066526,1002820044,MN27,POINT (-73.994091397933 40.713737879423)
WINGSTOP,Manhattan,63,WEST  125 STREET,10027,2129879464,Chicken,6/16/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/16/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.80733182,-73.94443203,110,09,020000,1053498,1017230009,MN11,POINT (-73.944432030624 40.807331816825)
ROLEN BAGEL,Bronx,3601,RIVERDALE AVENUE,10463,7186015375,Bagels/Pretzels,11/7/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,11/7/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.88668266,-73.90705633,208,11,029500,2084186,2057960167,BX29,POINT (-73.907056326877 40.886682656565)
KEUR COUMBA,Manhattan,125,WEST  116 STREET,10026,2128663900,African,8/13/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,B,8/13/2024,4/22/2026,Cycle Inspection / Re-inspection,40.8024133,-73.95060189,110,09,021800,1057402,1019010019,MN11,POINT (-73.950601887246 40.802413304771)
HONG KONG KITCHEN,Queens,84-46,ELIOT AVENUE,11379,7188031501,Chinese,12/4/2023,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,12/4/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.7276228,-73.87361313,405,29,067900,4067930,4029440028,QN21,POINT (-73.873613129184 40.727622798766)
QUE RICO,Queens,32-14,STEINWAY STREET,11103,7188131286,Latin American,2/11/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2/11/2025,4/22/2026,Cycle Inspection / Re-inspection,40.75857559,-73.91932808,401,22,015500,4010411,4006560042,QN70,POINT (-73.919328083317 40.758575588362)
